id;employe_id;approval_setting_id;squence;company_id;status;last_modified;last_modified_by
1;63972;clicks-and-mortar;Baby;80059;Frozen Toys;2023-03-12T15:00:27;indigo Tennessee
2;21612;primary neural;blue Quality-focused Account;3045;withdrawal azure;2023-03-12T23:33:15;Plains mobile Idaho
3;72914;convergence connecting;District;17109;Orchestrator quantify Ireland;2023-03-12T14:49:49;up
4;85774;Tennessee foreground;withdrawal Gorgeous expedite;10264;Fords Mountain;2023-03-12T10:28:35;Krone bypassing
5;24025;Facilitator;magenta Ergonomic;95427;communities Switchable microchip;2023-03-12T19:51:51;Market
6;25508;synthesizing bus Tajikistan;national Accounts mindshare;28811;Cotton white;2023-03-13T01:31:34;Oregon invoice array
7;50910;Ball;Car neural;38422;payment Samoa;2023-03-13T00:49:00;Investment
8;39400;Gardens;Mobility;32066;Mouse;2023-03-12T10:59:40;Georgia Ridge
9;22170;Turkish;Industrial Division;58732;application monetize real-time;2023-03-13T08:49:51;District
10;78000;cultivate;Well;72664;Alabama Austria;2023-03-12T19:51:05;red transform Movies
